zone,year,month,temperature,rainfall,humidity
North,2014,1,11.3,18.2,61.7
North,2014,2,16.1,14.2,58.4
North,2014,3,23.0,12.1,51.4
North,2014,4,36.8,9.8,27.2
North,2014,5,38.2,13.7,25.0
North,2014,6,41.9,69.0,46.0
North,2014,7,32.4,181.2,77.3
North,2014,8,29.5,210.0,81.8
North,2014,9,27.8,141.2,68.9
North,2014,10,24.4,20.3,48.5
North,2014,11,16.4,4.6,49.2
North,2014,12,15.0,9.4,61.1
North,2015,1,13.1,16.1,62.8
North,2015,2,15.7,21.8,52.8
North,2015,3,21.2,14.1,49.0
North,2015,4,36.6,8.3,28.4
North,2015,5,39.4,19.3,30.9
North,2015,6,43.1,49.4,49.1
North,2015,7,30.1,129.1,73.5
North,2015,8,30.9,154.9,77.2
North,2015,9,28.3,71.1,77.1
North,2015,10,25.0,23.5,53.0
North,2015,11,18.4,4.3,49.3
North,2015,12,14.0,10.0,60.0
North,2016,1,10.4,19.1,59.8
North,2016,2,15.5,17.7,56.4
North,2016,3,21.0,14.0,37.6
North,2016,4,36.4,10.4,24.7
North,2016,5,40.2,19.5,29.7
North,2016,6,40.8,92.2,55.5
North,2016,7,30.9,279.8,78.7
North,2016,8,29.6,289.6,78.5
North,2016,9,29.3,139.9,75.1
North,2016,10,26.0,20.6,46.1
North,2016,11,18.0,5.7,55.1
North,2016,12,13.2,10.7,58.7
North,2017,1,12.7,19.5,65.6
North,2017,2,15.7,22.1,61.9
North,2017,3,20.3,14.9,44.2
North,2017,4,34.9,9.7,27.7
North,2017,5,40.1,19.9,24.1
North,2017,6,43.4,69.2,47.6
North,2017,7,30.6,245.3,77.1
North,2017,8,28.7,225.2,79.3
North,2017,9,29.5,111.7,67.3
North,2017,10,26.1,20.8,51.8
North,2017,11,17.7,5.2,52.7
North,2017,12,11.5,9.4,63.6
North,2018,1,12.5,18.6,55.2
North,2018,2,14.3,21.6,62.6
North,2018,3,22.1,15.2,48.9
North,2018,4,36.0,13.0,25.2
North,2018,5,38.0,14.1,24.5
North,2018,6,40.6,50.4,46.3
North,2018,7,30.0,196.0,73.8
North,2018,8,30.5,189.0,67.3
North,2018,9,28.4,71.2,73.9
North,2018,10,26.4,17.1,52.6
North,2018,11,19.3,4.3,54.1
North,2018,12,14.6,12.2,61.3
